,FILENAME,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001.txt,92,17,0.6880733881828129,0.043495610517360096,2506.0,31.763766959297683,1015.1055067837192,2506.0,796,2506,1.826416600159617,41,5.452114924181963
1,blackassign0002.txt,113,42,0.45806451317377733,0.05591630589613409,2772.0,37.121212121212125,1123.648484848485,2772.0,1029,2772,1.9246031746031746,36,5.829004329004329
2,blackassign0003.txt,88,35,0.4308943054398837,0.052251486808729194,2354.0,40.824129141886154,957.9296516567546,2354.0,961,2354,2.0195412064570943,43,6.211129991503824
3,blackassign0004.txt,88,86,0.011494252807504294,0.07458208312276808,2333.0,39.605657951135875,949.0422631804545,2333.0,924,2333,2.0390055722246037,35,6.138876982426061
4,blackassign0005.txt,71,19,0.5777777713580248,0.04587155960964752,1962.0,37.2579001019368,799.7031600407747,1962.0,731,1962,1.9821610601427115,36,6.025993883792049
5,blackassign0006.txt,140,37,0.5819209006671135,0.05627980920309068,3145.0,37.74244833068362,1273.0969793322736,3145.0,1187,3145,1.9742448330683624,36,6.097933227344992
6,blackassign0007.txt,80,84,-0.024390243753718028,0.06356589144823027,2580.0,34.96124031007752,1045.984496124031,2580.0,902,2580,1.939922480620155,31,5.777906976744186
7,blackassign0008.txt,79,20,0.5959595899398021,0.04805825240385522,2060.0,42.18446601941748,840.873786407767,2060.0,869,2060,2.054854368932039,33,6.310679611650485
8,blackassign0009.txt,93,64,0.18471337461966003,0.07053009880030095,2226.0,41.82389937106918,907.1295597484277,2226.0,931,2226,2.0925426774483378,33,6.295148247978437
9,blackassign0010.txt,194,192,0.005181347136835888,0.0782485302902395,4933.0,31.82647476180823,1985.9305899047235,4933.0,1570,4933,1.8520170281775796,43,5.591729170889925
10,blackassign0011.txt,115,31,0.5753424618127229,0.05318761382397537,2745.0,39.635701275045534,1113.8542805100183,2745.0,1088,2745,1.9908925318761383,33,6.044808743169399
11,blackassign0012.txt,141,35,0.6022727238507232,0.05921938086836495,2972.0,37.75235531628533,1203.9009421265143,2972.0,1122,2972,2.060565275908479,32,5.901076716016151
12,blackassign0013.txt,89,24,0.5752212338475997,0.0595050026016298,1899.0,39.494470774091624,775.3977883096368,1899.0,750,1899,2.034228541337546,33,6.007898894154819
13,blackassign0014.txt,74,38,0.3214285685586735,0.04727733218772591,2369.0,36.59772055719713,962.2390882228789,2369.0,867,2369,1.9092444069227523,32,5.827353313634445
14,blackassign0015.txt,92,38,0.41538461218934913,0.051792828664624375,2510.0,36.17529880478087,1018.4701195219125,2510.0,908,2510,1.951792828685259,37,5.891633466135458
15,blackassign0016.txt,92,38,0.41538461218934913,0.051792828664624375,2510.0,36.17529880478087,1018.4701195219125,2510.0,908,2510,1.951792828685259,37,5.891633466135458
16,blackassign0017.txt,97,23,0.6166666615277778,0.050146259903825215,2393.0,35.5202674467196,971.4081069786879,2393.0,850,2393,1.9473464270789804,34,5.92227329711659
17,blackassign0018.txt,91,21,0.6249999944196429,0.04761904759880143,2352.0,38.3078231292517,956.1231292517007,2352.0,901,2352,1.9817176870748299,31,5.949404761904762
18,blackassign0019.txt,119,17,0.7499999944852942,0.045033112567869835,3020.0,33.741721854304636,1221.496688741722,3020.0,1019,3020,1.9102649006622516,35,5.725496688741722
19,blackassign0020.txt,57,11,0.6764705782871974,0.03744493390008539,1816.0,36.12334801762114,740.8493392070485,1816.0,656,1816,1.9741189427312775,30,5.91409691629956
20,blackassign0021.txt,77,59,0.1323529402032872,0.0586459680644045,2319.0,38.033635187580856,942.8134540750324,2319.0,882,2319,1.9905131522207848,36,5.974557999137559
21,blackassign0022.txt,64,21,0.5058823469896194,0.05011792449875122,1696.0,37.55896226415094,693.4235849056604,1696.0,637,1696,1.9852594339622642,35,5.982900943396227
22,blackassign0023.txt,90,26,0.551724133174792,0.04339693226958589,2673.0,33.48297792742237,1082.593191170969,2673.0,895,2673,1.856341189674523,37,5.618780396558174
23,blackassign0024.txt,73,14,0.6781609117452769,0.046976241875282806,1852.0,38.066954643628506,756.0267818574515,1852.0,705,1852,1.9913606911447084,31,5.968682505399568
24,blackassign0025.txt,71,22,0.5268817147647128,0.040487592494345845,2297.0,32.21593382673052,931.6863735306923,2297.0,740,2297,1.8519808445798869,36,5.574227252938615
25,blackassign0026.txt,77,25,0.5098039165705498,0.04687499997845818,2176.0,36.48897058823529,884.9955882352941,2176.0,794,2176,1.9393382352941178,31,5.84375
26,blackassign0027.txt,91,37,0.4218749967041016,0.04870624046852883,2628.0,31.316590563165907,1063.7266362252665,2628.0,823,2628,1.8085996955859969,58,5.4261796042617965
27,blackassign0028.txt,89,36,0.42399999660800003,0.05236698782892041,2387.0,35.40008378718056,968.9600335148722,2387.0,845,2387,1.9296187683284458,40,5.826979472140763
28,blackassign0029.txt,131,45,0.48863636086002066,0.05734767023220995,3069.0,36.68947539915282,1242.2757901596613,3069.0,1126,3069,1.9537308569566634,30,5.9100684261974585
29,blackassign0030.txt,121,49,0.4235294092733564,0.06256900991440228,2717.0,31.836584468163416,1099.5346337872654,2717.0,865,2717,1.8008833271991167,36,5.495767390504232
30,blackassign0031.txt,123,47,0.447058820899654,0.056837178182267745,2991.0,35.30591775325978,1210.5223671013039,2991.0,1056,2991,1.8973587428953527,33,5.771648278167837
